Customer ID,Recency,Frequency,Monetary,Cluster
CUST144,170,1,1500,1
CUST145,60,1,75,0
CUST146,126,1,200,0
CUST147,95,1,300,0
CUST148,237,1,60,0
CUST149,82,1,75,0
CUST150,360,1,120,0
CUST151,17,1,50,0
CUST152,307,1,2000,2
CUST153,16,1,1000,3
CUST154,91,1,900,3
CUST155,229,1,2000,2
CUST156,37,1,100,0
CUST157,191,1,2000,2
CUST158,308,1,600,3
CUST159,215,1,200,0
CUST160,143,1,100,0
CUST161,285,1,1000,3
CUST162,133,1,60,0
CUST163,364,1,150,0
CUST164,231,1,1500,1
CUST165,109,1,1200,1
CUST166,274,1,2000,2
CUST167,106,1,150,0
CUST168,311,1,300,0
CUST169,45,1,1500,1
CUST170,213,1,50,0
CUST171,38,1,900,3
CUST172,106,1,50,0
CUST173,54,1,120,0
CUST174,264,1,300,0
CUST175,287,1,100,0
CUST176,174,1,100,0
CUST177,283,1,100,0
CUST178,89,1,60,0
CUST179,94,1,300,0
CUST180,365,1,900,3
CUST181,59,1,1200,1
CUST182,200,1,120,0
CUST183,115,1,900,3
CUST184,356,1,200,0
CUST185,308,1,25,0
CUST186,180,1,200,0
CUST187,208,1,100,0
CUST188,243,1,75,0
CUST189,336,1,50,0
CUST190,242,1,90,0
CUST191,75,1,25,0
CUST192,325,1,100,0
CUST193,322,1,1500,1
CUST194,117,1,200,0
CUST195,330,1,30,0
CUST196,93,1,900,3
CUST197,301,1,200,0
CUST198,300,1,900,3
CUST199,28,1,1500,1
CUST200,122,1,150,0
CUST201,84,1,25,0
CUST202,281,1,1200,1
CUST203,230,1,1000,3
CUST204,95,1,25,0
CUST205,55,1,25,0
CUST206,149,1,25,0
CUST207,257,1,50,0
CUST208,89,1,200,0
CUST209,12,1,200,0
CUST210,263,1,200,0
CUST211,0,1,1500,1
CUST212,206,1,1500,1
CUST213,161,1,1500,1
CUST214,22,1,60,0
CUST215,33,1,1500,1
CUST216,174,1,100,0
CUST217,141,1,200,0
CUST218,101,1,90,0
CUST219,134,1,90,0
CUST220,304,1,500,3
CUST221,239,1,600,3
CUST222,250,1,120,0
CUST223,333,1,25,0
CUST224,192,1,50,0
CUST225,355,1,100,0
CUST226,64,1,50,0
CUST227,82,1,100,0
CUST228,248,1,60,0
CUST229,64,1,90,0
CUST230,253,1,25,0
CUST231,362,1,150,0
CUST232,329,1,25,0
CUST233,3,1,600,3
CUST234,42,1,50,0
CUST235,335,1,1000,3
CUST236,248,1,25,0
CUST237,331,1,1000,3
CUST238,349,1,500,3
CUST239,196,1,1500,1
CUST240,329,1,300,0
CUST241,102,1,75,0
CUST242,244,1,25,0
CUST243,223,1,900,3
CUST244,23,1,100,0
CUST245,117,1,90,0
CUST246,256,1,50,0
CUST247,89,1,60,0
CUST248,298,1,900,3
CUST249,73,1,50,0
CUST250,70,1,50,0
CUST251,123,1,200,0
CUST252,241,1,300,0
CUST253,123,1,2000,2
CUST254,157,1,500,3
CUST255,268,1,30,0
CUST256,317,1,1000,3
CUST257,316,1,2000,2
CUST258,28,1,50,0
CUST259,145,1,200,0
CUST260,184,1,60,0
CUST261,149,1,50,0
CUST262,155,1,120,0
CUST263,126,1,60,0
CUST264,338,1,900,3
CUST265,21,1,900,3
CUST266,31,1,60,0
CUST267,35,1,90,0
CUST268,315,1,30,0
CUST269,334,1,2000,2
CUST270,159,1,300,0
CUST271,192,1,120,0
CUST272,310,1,100,0
CUST273,238,1,50,0
CUST274,267,1,1000,3
CUST275,268,1,1000,3
CUST276,91,1,100,0
CUST277,136,1,100,0
CUST278,294,1,100,0
CUST279,149,1,500,3
CUST280,272,1,1500,1
CUST281,223,1,2000,2
CUST282,129,1,200,0
CUST283,238,1,500,3
CUST284,327,1,200,0
CUST285,139,1,25,0
CUST286,84,1,50,0
CUST287,315,1,100,0
CUST288,340,1,120,0
CUST289,32,1,60,0
CUST290,89,1,600,3
CUST291,358,1,600,3
CUST292,318,1,1200,1
CUST293,244,1,90,0
CUST294,280,1,90,0
CUST295,157,1,900,3
CUST296,117,1,1200,1
CUST297,119,1,1000,3
CUST298,256,1,1200,1
CUST299,160,1,1000,3
CUST300,335,1,200,0
CUST301,281,1,120,0
CUST302,171,1,600,3
CUST303,364,1,90,0
CUST304,166,1,60,0
CUST305,230,1,30,0
CUST306,133,1,50,0
CUST307,219,1,50,0
CUST308,149,1,1200,1
CUST309,9,1,25,0
CUST310,81,1,25,0
CUST311,27,1,100,0
CUST312,116,1,120,0
CUST313,286,1,1500,1
CUST314,268,1,120,0
CUST315,214,1,60,0
CUST316,254,1,50,0
CUST317,336,1,90,0
CUST318,69,1,25,0
CUST319,88,1,500,3
CUST320,334,1,1200,1
CUST321,205,1,50,0
CUST322,336,1,500,3
CUST323,340,1,900,3
CUST324,66,1,150,0
CUST325,121,1,50,0
CUST326,108,1,75,0
CUST327,94,1,150,0
CUST328,285,1,100,0
CUST329,336,1,100,0
CUST330,105,1,200,0
CUST331,324,1,90,0
CUST332,270,1,1200,1
CUST333,330,1,1200,1
CUST334,61,1,900,3
CUST335,331,1,120,0
CUST336,20,1,150,0
CUST337,245,1,500,3
CUST338,159,1,100,0
CUST339,304,1,50,0
CUST340,74,1,1200,1
CUST341,239,1,200,0
CUST342,69,1,2000,2
CUST343,61,1,50,0
CUST344,345,1,30,0
CUST345,48,1,30,0
CUST346,324,1,1000,3
CUST347,151,1,25,0
CUST348,29,1,600,3
CUST349,67,1,50,0
CUST350,76,1,75,0
CUST351,98,1,90,0
CUST352,204,1,1000,3
CUST353,232,1,500,3
CUST354,261,1,200,0
CUST355,23,1,500,3
CUST356,205,1,1500,1
CUST357,243,1,75,0
CUST358,230,1,300,0
CUST359,163,1,50,0
CUST360,298,1,100,0
CUST361,22,1,1200,1
CUST362,35,1,25,0
CUST363,212,1,25,0
CUST364,131,1,500,3
CUST365,204,1,300,0
CUST366,328,1,100,0
CUST367,361,1,50,0
CUST368,131,1,1200,1
CUST369,47,1,1500,1
CUST370,77,1,60,0
CUST371,314,1,25,0
CUST372,328,1,1500,1
CUST373,90,1,600,3
CUST374,256,1,75,0
CUST375,106,1,50,0
CUST376,230,1,30,0
CUST377,298,1,200,0
CUST378,187,1,300,0
CUST379,330,1,25,0
CUST380,240,1,600,3
CUST381,176,1,100,0
CUST382,220,1,1000,3
CUST383,285,1,90,0
CUST384,141,1,500,3
CUST385,87,1,1500,1
CUST386,5,1,600,3
CUST387,211,1,30,0
CUST388,52,1,25,0
CUST389,31,1,50,0
CUST390,95,1,100,0
CUST391,361,1,50,0
CUST392,24,1,600,3
CUST393,82,1,1000,3
CUST394,212,1,500,3
CUST395,26,1,1000,3
CUST396,312,1,30,0
CUST397,297,1,25,0
CUST398,230,1,600,3
CUST399,306,1,60,0
CUST400,311,1,200,0
CUST401,82,1,300,0
CUST402,286,1,600,3
CUST403,226,1,600,3
CUST404,221,1,1000,3
CUST405,56,1,1200,1
CUST406,258,1,100,0
CUST407,190,1,900,3
CUST408,261,1,500,3
CUST409,14,1,900,3
CUST410,41,1,100,0
CUST411,230,1,200,0
CUST412,107,1,2000,2
CUST413,115,1,75,0
CUST414,237,1,100,0
CUST415,339,1,60,0
CUST416,318,1,2000,2
CUST417,41,1,900,3
CUST418,149,1,1000,3
CUST419,224,1,90,0
CUST420,343,1,2000,2
CUST421,364,1,1500,1
CUST422,195,1,90,0
CUST423,299,1,25,0
CUST424,39,1,1200,1
CUST425,231,1,120,0
CUST426,283,1,150,0
CUST427,139,1,25,0
CUST428,83,1,200,0
CUST429,4,1,50,0
CUST430,147,1,900,3
CUST431,78,1,1200,1
CUST432,361,1,1000,3
CUST433,308,1,200,0
CUST434,327,1,50,0
CUST435,12,1,900,3
CUST436,289,1,120,0
CUST437,86,1,1200,1
CUST438,347,1,30,0
CUST439,176,1,75,0
CUST440,67,1,600,3
CUST441,83,1,1200,1
CUST442,290,1,100,0
CUST443,145,1,600,3
CUST444,300,1,90,0
CUST445,344,1,300,0
CUST446,208,1,50,0
CUST447,179,1,2000,2
CUST448,345,1,60,0
CUST449,182,1,200,0
CUST450,258,1,50,0
CUST451,16,1,30,0
CUST452,238,1,1500,1
CUST453,24,1,1000,3
CUST454,313,1,25,0
CUST455,184,1,100,0
CUST456,79,1,60,0
CUST457,157,1,900,3
CUST458,48,1,100,0
CUST459,286,1,1200,1
CUST460,244,1,50,0
CUST461,282,1,1000,3
CUST462,275,1,1200,1
CUST463,154,1,1500,1
CUST464,353,1,600,3
CUST465,274,1,150,0
CUST466,195,1,100,0
CUST467,155,1,150,0
CUST468,23,1,25,0
CUST469,238,1,75,0
CUST470,229,1,1000,3
CUST471,284,1,150,0
CUST472,6,1,900,3
CUST473,310,1,50,0
CUST474,170,1,1500,1
CUST475,346,1,75,0
CUST476,125,1,2000,2
CUST477,252,1,120,0
CUST478,263,1,60,0
CUST479,130,1,1200,1
CUST480,186,1,2000,2
CUST481,209,1,1200,1
CUST482,249,1,1200,1
CUST483,251,1,30,0
CUST484,353,1,1200,1
CUST485,28,1,30,0
CUST486,267,1,25,0
CUST487,161,1,2000,2
CUST488,197,1,900,3
CUST489,223,1,30,0
CUST490,330,1,150,0
CUST491,223,1,900,3
CUST492,186,1,100,0
CUST493,37,1,50,0
CUST494,105,1,200,0
CUST495,161,1,60,0
CUST496,18,1,600,3
CUST497,91,1,120,0
CUST498,196,1,100,0
CUST499,351,1,60,0
CUST500,306,1,100,0
CUST501,232,1,60,0
CUST502,274,1,150,0
CUST503,68,1,2000,2
CUST504,230,1,150,0
CUST505,346,1,50,0
CUST506,310,1,1500,1
CUST507,60,1,1500,1
CUST508,143,1,600,3
CUST509,189,1,900,3
CUST510,205,1,200,0
CUST511,142,1,100,0
CUST512,55,1,25,0
CUST513,104,1,100,0
CUST514,306,1,300,0
CUST515,168,1,900,3
CUST516,70,1,100,0
CUST517,268,1,100,0
CUST518,235,1,30,0
CUST519,343,1,120,0
CUST520,3,1,100,0
CUST521,142,1,120,0
CUST522,365,1,1500,1
CUST523,99,1,300,0
CUST524,90,1,1200,1
CUST525,14,1,50,0
CUST526,22,1,100,0
CUST527,265,1,50,0
CUST528,179,1,60,0
CUST529,145,1,150,0
CUST530,330,1,120,0
CUST531,25,1,500,3
CUST532,196,1,120,0
CUST533,46,1,1500,1
CUST534,205,1,1000,3
CUST535,26,1,90,0
CUST536,302,1,120,0
CUST537,212,1,500,3
CUST538,106,1,150,0
CUST539,207,1,500,3
CUST540,24,1,900,3
CUST541,156,1,500,3
CUST542,198,1,50,0
CUST543,159,1,600,3
CUST544,9,1,25,0
CUST545,214,1,50,0
CUST546,82,1,200,0
CUST547,300,1,2000,2
CUST548,267,1,60,0
CUST549,150,1,100,0
CUST550,25,1,900,3
CUST551,171,1,900,3
CUST552,19,1,75,0
CUST553,276,1,1200,1
CUST554,50,1,150,0
CUST555,74,1,300,0
CUST556,211,1,50,0
CUST557,158,1,90,0
CUST558,85,1,25,0
CUST559,365,1,1200,1
CUST560,210,1,50,0
CUST561,219,1,2000,2
CUST562,258,1,50,0
CUST563,145,1,60,0
CUST564,69,1,100,0
CUST565,55,1,60,0
CUST566,30,1,30,0
CUST567,201,1,900,3
CUST568,127,1,300,0
CUST569,139,1,200,0
CUST570,139,1,500,3
CUST571,20,1,50,0
CUST572,256,1,2000,2
CUST573,104,1,60,0
CUST574,123,1,50,0
CUST575,279,1,100,0
CUST576,28,1,150,0
CUST577,322,1,2000,2
CUST578,220,1,120,0
CUST579,102,1,30,0
CUST580,26,1,1500,1
CUST581,41,1,60,0
CUST582,48,1,900,3
CUST583,194,1,100,0
CUST584,318,1,200,0
CUST585,245,1,25,0
CUST586,21,1,50,0
CUST587,207,1,1200,1
CUST588,250,1,60,0
CUST589,264,1,1000,3
CUST590,290,1,900,3
CUST591,353,1,100,0
CUST592,342,1,2000,2
CUST593,240,1,60,0
CUST594,122,1,600,3
CUST595,53,1,2000,2
CUST596,328,1,300,0
CUST597,132,1,1200,1
CUST598,153,1,120,0
CUST599,43,1,100,0
CUST600,71,1,1000,3
CUST601,266,1,30,0
CUST602,9,1,300,0
CUST603,169,1,90,0
CUST604,112,1,200,0
CUST605,161,1,1000,3
CUST606,241,1,50,0
CUST607,290,1,75,0
CUST608,30,1,1500,1
CUST609,13,1,100,0
CUST610,363,1,600,3
CUST611,311,1,1500,1
CUST612,148,1,500,3
CUST613,253,1,90,0
CUST614,275,1,1200,1
CUST615,9,1,100,0
CUST616,100,1,100,0
CUST617,128,1,30,0
CUST618,340,1,50,0
CUST619,80,1,100,0
CUST620,238,1,75,0
CUST621,303,1,1000,3
CUST622,132,1,75,0
CUST623,297,1,150,0
CUST624,128,1,900,3
CUST625,24,1,300,0
CUST626,94,1,2000,2
CUST627,79,1,50,0
CUST628,61,1,200,0
CUST629,203,1,50,0
CUST630,139,1,100,0
CUST631,52,1,90,0
CUST632,107,1,100,0
CUST633,147,1,120,0
CUST634,85,1,2000,2
CUST635,137,1,900,3
CUST636,284,1,1500,1
CUST637,122,1,600,3
CUST638,135,1,500,3
CUST639,233,1,200,0
CUST640,239,1,120,0
CUST641,39,1,300,0
CUST642,224,1,100,0
CUST643,99,1,90,0
CUST644,117,1,75,0
CUST645,45,1,120,0
CUST646,243,1,90,0
CUST647,225,1,1500,1
CUST648,140,1,1200,1
CUST649,326,1,600,3
CUST650,0,1,30,0
CUST651,219,1,150,0
CUST652,245,1,100,0
CUST653,226,1,75,0
CUST654,194,1,75,0
CUST655,202,1,500,3
CUST656,89,1,90,0
CUST657,324,1,25,0
CUST658,295,1,25,0
CUST659,288,1,30,0
CUST660,247,1,1000,3
CUST661,169,1,100,0
CUST662,10,1,1000,3
CUST663,287,1,1200,1
CUST664,4,1,2000,2
CUST665,256,1,50,0
CUST666,333,1,150,0
CUST667,153,1,500,3
CUST668,157,1,150,0
CUST669,196,1,1200,1
CUST670,88,1,30,0
CUST671,127,1,150,0
CUST672,153,1,100,0
CUST673,334,1,1500,1
CUST674,260,1,300,0
CUST675,150,1,60,0
CUST676,166,1,1500,1
CUST677,66,1,1500,1
CUST678,9,1,900,3
CUST679,355,1,90,0
CUST680,71,1,900,3
CUST681,171,1,60,0
CUST682,121,1,1200,1
CUST683,362,1,1000,3
CUST684,185,1,1000,3
CUST685,213,1,50,0
CUST686,166,1,200,0
CUST687,151,1,300,0
CUST688,90,1,100,0
CUST689,86,1,100,0
CUST690,57,1,900,3
CUST691,253,1,90,0
CUST692,116,1,100,0
CUST693,253,1,1500,1
CUST694,226,1,50,0
CUST695,142,1,150,0
CUST696,117,1,200,0
CUST697,351,1,500,3
CUST698,166,1,300,0
CUST699,193,1,120,0
CUST700,23,1,2000,2
CUST701,18,1,60,0
CUST702,158,1,600,3
CUST703,281,1,100,0
CUST704,126,1,90,0
CUST705,300,1,50,0
CUST706,47,1,100,0
CUST707,92,1,500,3
CUST708,352,1,900,3
CUST709,164,1,1000,3
CUST710,62,1,1500,1
CUST711,77,1,1500,1
CUST712,26,1,50,0
CUST713,352,1,75,0
CUST714,323,1,500,3
CUST715,36,1,100,0
CUST716,146,1,1200,1
CUST717,296,1,500,3
CUST718,129,1,75,0
CUST719,272,1,60,0
CUST720,340,1,1500,1
CUST721,232,1,500,3
CUST722,171,1,900,3
CUST723,198,1,200,0
CUST724,257,1,150,0
CUST725,133,1,300,0
CUST726,198,1,1200,1
CUST727,193,1,900,3
CUST728,171,1,150,0
CUST729,223,1,1200,1
CUST730,150,1,50,0
CUST731,236,1,2000,2
CUST732,324,1,1000,3
CUST733,125,1,30,0
CUST734,356,1,30,0
CUST735,89,1,2000,2
CUST736,339,1,100,0
CUST737,186,1,50,0
CUST738,251,1,100,0
CUST739,33,1,25,0
CUST740,330,1,200,0
CUST741,32,1,300,0
CUST742,345,1,2000,2
CUST743,350,1,2000,2
CUST744,239,1,25,0
CUST745,263,1,100,0
CUST746,355,1,90,0
CUST747,47,1,30,0
CUST748,287,1,150,0
CUST749,243,1,30,0
CUST750,301,1,75,0
CUST751,123,1,50,0
CUST752,23,1,100,0
CUST753,307,1,30,0
CUST754,77,1,100,0
CUST755,254,1,75,0
CUST756,127,1,1200,1
CUST757,7,1,1200,1
CUST758,234,1,100,0
CUST759,177,1,100,0
CUST760,280,1,500,3
CUST761,55,1,500,3
CUST762,55,1,50,0
CUST763,307,1,50,0
CUST764,282,1,25,0
CUST765,206,1,200,0
CUST766,310,1,900,3
CUST767,69,1,75,0
CUST768,352,1,75,0
CUST769,206,1,120,0
CUST770,71,1,50,0
CUST771,19,1,50,0
CUST772,173,1,30,0
CUST773,162,1,2000,2
CUST774,264,1,50,0
CUST775,327,1,100,0
CUST776,62,1,90,0
CUST777,12,1,150,0
CUST778,44,1,100,0
CUST779,241,1,1000,3
CUST780,313,1,50,0
CUST781,9,1,500,3
CUST782,211,1,900,3
CUST783,15,1,300,0
CUST784,58,1,500,3
CUST785,304,1,200,0
CUST786,76,1,100,0
CUST787,344,1,25,0
CUST788,188,1,900,3
CUST789,93,1,2000,2
CUST790,146,1,25,0
CUST791,27,1,25,0
CUST792,176,1,50,0
CUST793,330,1,30,0
CUST794,106,1,300,0
CUST795,34,1,300,0
CUST796,191,1,120,0
CUST797,359,1,75,0
CUST798,150,1,50,0
CUST799,115,1,100,0
CUST800,311,1,1200,1
CUST801,144,1,200,0
CUST802,180,1,30,0
CUST803,40,1,100,0
CUST804,130,1,30,0
CUST805,3,1,1500,1
CUST806,287,1,900,3
CUST807,143,1,200,0
CUST808,275,1,2000,2
CUST809,98,1,100,0
CUST810,32,1,100,0
CUST811,227,1,50,0
CUST812,50,1,75,0
CUST813,90,1,150,0
CUST814,118,1,500,3
CUST815,127,1,75,0
CUST816,142,1,1000,3
CUST817,62,1,200,0
CUST818,228,1,500,3
CUST819,200,1,100,0
CUST820,240,1,200,0
CUST821,321,1,300,0
CUST822,223,1,150,0
CUST823,135,1,100,0
CUST824,241,1,120,0
CUST825,128,1,25,0
CUST826,74,1,300,0
CUST827,53,1,900,3
CUST828,23,1,1200,1
CUST829,171,1,90,0
CUST830,193,1,150,0
CUST831,351,1,100,0
CUST832,112,1,2000,2
CUST833,199,1,200,0
CUST834,272,1,60,0
CUST835,116,1,200,0
CUST836,257,1,50,0
CUST837,184,1,90,0
CUST838,233,1,600,3
CUST839,191,1,1200,1
CUST840,222,1,50,0
CUST841,60,1,100,0
CUST842,6,1,600,3
CUST843,224,1,1500,1
CUST844,81,1,150,0
CUST845,360,1,500,3
CUST846,101,1,50,0
CUST847,268,1,1200,1
CUST848,322,1,75,0
CUST849,242,1,50,0
CUST850,157,1,1000,3
CUST851,115,1,50,0
CUST852,81,1,300,0
CUST853,242,1,1000,3
CUST854,12,1,50,0
CUST855,122,1,25,0
CUST856,35,1,120,0
CUST857,1,1,50,0
CUST858,114,1,100,0
CUST859,136,1,1500,1
CUST860,357,1,200,0
CUST861,318,1,90,0
CUST862,215,1,1200,1
CUST863,252,1,50,0
CUST864,158,1,500,3
CUST865,11,1,300,0
CUST866,241,1,50,0
CUST867,209,1,500,3
CUST868,26,1,300,0
CUST869,68,1,1500,1
CUST870,177,1,120,0
CUST871,123,1,60,0
CUST872,82,1,75,0
CUST873,94,1,100,0
CUST874,189,1,30,0
CUST875,148,1,2000,2
CUST876,84,1,120,0
CUST877,196,1,25,0
CUST878,185,1,30,0
CUST879,6,1,30,0
CUST880,133,1,1000,3
CUST881,227,1,300,0
CUST882,209,1,50,0
CUST883,237,1,500,3
CUST884,247,1,60,0
CUST885,304,1,120,0
CUST886,267,1,900,3
CUST887,204,1,100,0
CUST888,304,1,100,0
CUST889,91,1,50,0
CUST890,12,1,50,0
CUST891,271,1,900,3
CUST892,267,1,50,0
CUST893,255,1,50,0
CUST894,118,1,30,0
CUST895,224,1,120,0
CUST896,64,1,50,0
CUST897,97,1,100,0
CUST898,60,1,90,0
CUST899,221,1,600,3
CUST900,314,1,60,0
CUST901,266,1,30,0
CUST902,214,1,50,0
CUST903,249,1,200,0
CUST904,181,1,500,3
CUST905,274,1,300,0
CUST906,211,1,50,0
CUST907,358,1,25,0
CUST908,3,1,1200,1
CUST909,92,1,300,0
CUST910,301,1,150,0
CUST911,225,1,900,3
CUST912,342,1,150,0
CUST913,338,1,90,0
CUST914,82,1,500,3
CUST915,216,1,90,0
CUST916,8,1,50,0
CUST917,301,1,200,0
CUST918,39,1,90,0
CUST919,114,1,50,0
CUST920,313,1,75,0
CUST921,359,1,75,0
CUST922,72,1,50,0
CUST923,220,1,900,3
CUST924,125,1,100,0
CUST925,120,1,300,0
CUST926,140,1,30,0
CUST927,191,1,2000,2
CUST928,271,1,1200,1
CUST929,339,1,75,0
CUST930,236,1,200,0
CUST931,121,1,120,0
CUST932,307,1,100,0
CUST933,332,1,30,0
CUST934,160,1,500,3
CUST935,114,1,50,0
CUST936,328,1,200,0
CUST937,70,1,500,3
CUST938,43,1,200,0
CUST939,14,1,300,0
CUST940,338,1,30,0
CUST941,288,1,50,0
CUST942,289,1,1500,1
CUST943,77,1,1200,1
CUST944,210,1,50,0
CUST945,322,1,25,0
CUST946,238,1,2000,2
CUST947,305,1,300,0
CUST948,80,1,75,0
CUST949,152,1,50,0
CUST950,55,1,900,3
CUST951,60,1,100,0
CUST952,49,1,25,0
CUST953,250,1,90,0
CUST954,98,1,900,3
CUST955,171,1,25,0
CUST956,135,1,1500,1
CUST957,139,1,120,0
CUST958,213,1,50,0
CUST959,64,1,60,0
CUST960,146,1,60,0
CUST961,209,1,200,0
CUST962,74,1,60,0
CUST963,48,1,50,0
CUST964,335,1,900,3
CUST965,53,1,200,0
CUST966,315,1,1000,3
CUST967,259,1,25,0
CUST968,45,1,900,3
CUST969,257,1,900,3
CUST970,230,1,2000,2
CUST971,27,1,200,0
CUST972,324,1,100,0
CUST973,285,1,50,0
CUST974,243,1,30,0
CUST975,277,1,200,0
CUST976,83,1,600,3
CUST977,327,1,75,0
CUST978,285,1,150,0
CUST979,364,1,25,0
CUST980,156,1,75,0
CUST981,135,1,60,0
CUST982,13,1,90,0
CUST983,61,1,300,0
CUST984,125,1,500,3
CUST985,216,1,50,0
CUST986,349,1,1000,3
CUST987,247,1,900,3
CUST988,218,1,75,0
CUST989,4,1,25,0
CUST990,221,1,1000,3
CUST991,6,1,100,0
CUST992,133,1,60,0
CUST993,329,1,150,0
CUST994,14,1,1000,3
CUST995,246,1,30,0
CUST996,230,1,50,0
CUST997,45,1,90,0
CUST998,64,1,100,0
CUST999,27,1,150,0
